codigo,descricao,prod_url
72759BR-CP,BICA LAV ARTIFACTS CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/72759BR.png
98068BR-4-CP,ALAV MIST LAV ARTIFACTS CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/98068BR-4.png
72762BR-9M-CP,MIST MON LAV BICA BX ARTIFACTS CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/72762BR-9M.png
76967BR-4-CP,ACAB MIST MON CHUV ARTIFACTS CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/76967BR-4.png
T76966BR-4-CP,ACAB MIST MON CHUV/BANH ARTIFACTS CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T76966BR-4.png
T97038BR-4-CP,ACAB MIST CHUV ARTIFACTS CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T97038BR-4.png
T97033BR-4-CP,ACAB. REG GAV/PRES ARTIFACTS CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T97033BR-4.png
72568BR-CP,PORTA TOALHA BARRA ARTIFACTS 610MM CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/72568BR.png
72571BR-CP,PORTA TOALHA ARGOLA ARTIFACTS CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/72571BR.png
72572BR-CP,CABIDE DUPLO ARTIFACTS CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/72572BR.png
72573BR-CP,PAPELEIRA CLÁSSICA ARTIFACTS CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/72573BR.png
73050BR-7ND-RGD,MIST MON LAV BICA BX COMPOSED RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/73050BR-7ND.png
73158BR-4ND-CP,MIST MON LAV BICA BX COMPOSED CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/73158BR-4ND.png
